Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(nÃºmero)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(Â°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",Unnamed: 7,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
2010-09-30,14.0,"288,6","965,491944","15,948056","13,7","3,640694",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2010-10-31,10.0,"89,6","965,085618","17,209005","12,4","3,316263",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2010-11-30,6.0,"84,4","961,997639","20,46375","11,8","2,827222",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2010-12-31,10.0,"170,2","959,905914","22,816264",11,"3,199462",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-01-31,17.0,"69,2","960,387634","24,036425","8,7","2,35121",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-02-28,16.0,322,"962,522917","22,730655","8,5","3,016964",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-03-31,10.0,211,"964,123382","21,307393","8,3","3,296996",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-04-30,12.0,"234,6","965,371944","19,499028","9,5","2,434028",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-05-31,12.0,"103,2","968,571497","15,319866","10,5","3,22302",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-06-30,15.0,"165,2","967,215694","12,412083","9,1","2,375694",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-07-31,16.0,"212,4","967,435817","12,648925","11,1","2,856276",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-08-31,17.0,"202,8","966,343683","13,67836","12,8","3,747715",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-09-30,7.0,"49,4","968,114445","15,969306","9,2","3,495417",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-10-31,14.0,196,"963,425456","18,798375","10,8","3,478536",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-11-30,6.0,"77,8","963,392361","21,530417","12,9","3,7325",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2011-12-31,10.0,"29,6","961,567876","22,316263","13,2","3,452823",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-01-31,9.0,"47,4","962,120424","24,075824","9,9","3,736518",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
