product,grape,score,avg_price_liter
"Vina Cobos Volturno,  Perdriel",  Cabernet Sauvignon - Malbec  ,93,785.33
"Catena Zapata  'Parcela Nicola Catena' Bonarda, Mendoza",  Bonarda  ,92,438.67
"Achaval Ferrer Quimera, Mendoza,",  Bordeaux Blend Red  ,91,244.0
"Bodega Noemia de Patagonia  Malbec, Rio Negro",  Malbec  ,94,981.33
"Bodega Norton Privada Red,  Lujan de Cuyo",  Bordeaux Blend Red  ,91,154.67
"Catena Zapata 'D.V.  Catena' Tinto Historico, Mendoza",  Red Blend  ,90,129.33
"Rutini Malbec, Uco Valley,",  Malbec  ,90,210.67
"Trapiche Broquel Malbec,  Mendoza",  Malbec  ,87,89.33
"Terrazas  de los Andes Grand Malbec, Las Compuertas",  Malbec  ,91,316.0
"Bodega  Aleanna 'Gran Enemigo' Chacayes Single Vineyard Cabernet Franc, Tunuyan",  Cabernet Franc  ,94,478.67
"Achaval Ferrer  Finca Mirador Malbec, Maipu",  Malbec  ,92,697.33
"Bodega Colome  Estate Torrontes, Calchaqui Valley",  Torrontes  ,89,89.33
"Argento Malbec, Mendoza",  Malbec  ,86,73.33
"Vina Cobos Bramare  Uco Valley Malbec, Mendoza",  Malbec  ,91,284.0
"Finca  Sophenia Altosur Malbec, Gualtallary",  Malbec  ,88,81.33
"Familia  Zuccardi 'Fosil', San Pablo",  Chardonnay  ,93,349.33
"Bodega Colome Estate Malbec, Salta,",  Malbec  ,90,154.67
"Bodegas Bianchi  'Enzo Bianchi' Gran Corte, San Rafael",  Bordeaux Blend Red  ,91,486.67
"Altos  Las Hormigas 'Appellation Gualtallary' Malbec, Tupungato",  Malbec  ,93,300.0
"Domaine Bousquet  Malbec, Tupungato",  Malbec  ,87,73.33
Piattelli Vineyards Grand Reserve  Malbec,  Malbec  ,89,129.33
"Bodega  Aleanna 'Gran Enemigo' Agrelo Single Vineyard Cabernet Franc, Mendoza",  Cabernet Franc  ,93,470.67
"Rutini 'Felipe Rutini'  Blend, Uco Valley",  Bordeaux Blend Red  ,89,1312.0
"Bodega Amalaya Malbec,  Calchaqui Valley",  Malbec  ,89,89.33
"Trivento Malbec, Mendoza",  Malbec  ,84,73.33
"PerSe  'Iubileus', Gualtallary",  Malbec  ,95,1046.67
"Bodegas  Salentein Reserva Malbec, Tunuyan",  Malbec  ,89,113.33
"Vina Cobos Felino Malbec,  Mendoza",  Malbec  ,88,129.33
"Familia Zuccardi 'Zuccardi  Serie A' Malbec, Mendoza",  Malbec  ,88,97.33
"Terrazas de los  Andes 'Altos del Plata' Malbec, Mendoza",  Malbec  ,86,73.33
"Bodegas Caro 'Aruma' Malbec, Mendoza,",  Cabernet Sauvignon - Malbec  ,89,105.33
"Susana Balbo Wines Susana  Balbo Signature Malbec, Mendoza",  Malbec  ,90,146.67
"Vina Cobos Cocodrilo Corte,  Mendoza",  Red Blend  ,90,202.67
"Bodega Cuarto Dominio  'Chento' Vineyard Selection Malbec, Mendoza",  Malbec  ,89,121.33
"Altos Las Hormigas Clasico  Malbec, Mendoza",  Malbec  ,88,81.33
"Familia  Zuccardi 'Aluvional' Gualtallary, Tupungato",  Malbec  ,94,520.0
"Catena Zapata  'Angelica Zapata Alta' Cabernet Franc, Mendoza",  Cabernet Franc  ,91,218.67
"Susana  Balbo Wines BenMarco Expresivo, Gualtallary",  Cabernet Franc - Malbec  ,92,226.67
"Domaine Chandon Garden Spritz,",  Premixed Drinks  ,89,137.33
"Andean Vineyards 'Andean' Malbec, Mendoza,",  Malbec  ,82,73.33
"Alta Vista 'Alto', Mendoza,",  Cabernet Sauvignon - Malbec  ,92,649.33
"La Mascota Vineyards Cabernet  Sauvignon, Maipu",  Cabernet Sauvignon  ,88,105.33
"Bodega Chacra  'Sin Azufre' Pinot Noir, Rio Negro",  Pinot Noir  ,92,300.0
"Michel  Rolland Val de Flores Malbec, Vista Flores",  Malbec  ,91,600.0
"Luigi Bosca  Finca La Linda Malbec, Vistalba",  Malbec  ,86,81.33
"Bodega Colome  Altura Maxima Malbec, Cafayate",  Malbec  ,93,804.0
"Catena Zapata 'Catena' Chardonnay,  Mendoza",  Chardonnay  ,89,121.33
"Opi a.k.a Rodolfo Sadler  Malbec, Mendoza",  Malbec  ,84,81.33
"Catena  Zapata 'Angelica Zapata Alta' Chardonnay, Tupungato",  Chardonnay  ,90,202.67
"Finca Decero  Remolinos Vineyard Malbec, Agrelo",  Malbec  ,89,121.33
"Susana Balbo Wines Crios  Malbec, Mendoza",  Malbec  ,88,89.33
"Finca Las Moras  'Los Intocables' Black Malbec, Mendoza",  Malbec  ,86,73.33
"Santa Julia Malbec, Mendoza,",  Malbec  ,84,65.33
"Mendel Cabernet Sauvignon, Mendoza,",  Cabernet Sauvignon  ,90,162.67
"Clos d' Argentine  Winemaker's Selection Reserva Malbec, Mendoza",  Malbec  ,88,89.33
"Finca Las Moras Malbec, San Juan,",  Malbec  ,82,57.33
"Ed Edmundo Cabernet Sauvignon, Mendoza,",  Cabernet Sauvignon  ,86,73.33
"Familia  Zuccardi 'Aluvional' Altamira, Uco Valley",  Malbec  ,93,528.0
"Jorjao Reserva Malbec, Mendoza,",  Malbec  ,,137.33
"The Waxed Bat, Mendoza",  Red Blend  ,86.0,73.33
"Catena Zapata 'Catena Alta'  Cabernet Sauvignon, Mendoza",  Cabernet Sauvignon  ,91.0,333.33
"Terrazas de los  Andes Reserva Cabernet Sauvignon, Mendoza",  Cabernet Sauvignon  ,89.0,121.33
"Alma Negra M Blend, Mendoza,",  Bonarda - Malbec  ,88.0,137.33
"DiamAndes  'Perlita' Malbec - Syrah, Uco Valley",  Malbec - Syrah  ,87.0,89.33
"Familia  Zuccardi 'Finca Piedra Infinita' Supercal, Paraje Altamira",  Malbec  ,96.0,168.0
"Vina Cobos  Marchiori Estate Malbec, Perdriel",  Malbec  ,95.0,754.67
"Catena Zapata 'Catena' Cabernet  Sauvignon, Mendoza",  Cabernet Sauvignon  ,89.0,129.33
"PerSe  'Inseparable', Gualtallary",  Malbec  ,93.0,252.0
"Bodegas  Salentein 'Pr1mus ' Malbec, Tunuyan",  Malbec  ,91.0,292.0
"Quilmes Cristal Lager Beer,",  Beer  ,,24.0
"Kaiken Estate Malbec,  Lujan de Cuyo",  Malbec  ,86.0,81.33
"Bodega Norton Gernot  Langes, Lujan de Cuyo",  Bordeaux Blend Red  ,93.0,560.0
"Bodegas Caro 'Petit Caro'  Cabernet Sauvignon - Malbec, Mendoza",  Cabernet Sauvignon - Malbec  ,91.0,178.67
"Catena  Zapata 'Catena' Appellation Paraje Altamira Malbec, Uco Valley",  Malbec  ,91.0,146.67
"Bodega Colome  Autentico Malbec, Calchaqui Valley",  Malbec  ,91.0,210.67
"Bodega Tapiz Black  Tears Malbec, Uco Valley",  Malbec  ,91.0,316.0
"Bodega Noemia de Patagonia  'A Lisa', Rio Negro",  Malbec  ,90.0,178.67
"Familia Zuccardi Tito, Uco  Valley",  Red Blend  ,92.0,236.0
"Pulenta Estate  XI Gran Cabernet Franc, Agrelo",  Cabernet Franc  ,91.0,324.0
"Michel  Torino - El Esteco 'Don David' Reserve Malbec, Cafayate",  Malbec  ,87.0,89.33
"Altos  Las Hormigas 'Appellation Paraje Altamira' Malbec, Uco Valley",  Malbec  ,93.0,292.0
"Catena  Zapata 'Nicasia Vineyards' Red Blend Malbec, Vista Flores",  Malbec  ,,65.33
"Bodega Septima Gran Reserva, Mendoza,",  Red Blend  ,88.0,170.67
"Susana  Balbo Wines BenMarco Malbec, Los Chacayes",  Malbec  ,90,113.33
"Mendel Malbec, Lujan de  Cuyo",  Malbec  ,90,162.67
"Trivento Eolo Malbec,  Lujan de Cuyo",  Malbec  ,92,608.0
"Bodega Aleanna 'El Enemigo'  Bonarda, Mendoza",  Bonarda  ,90,170.67
"Familia  Zuccardi 'Finca Canal Uco', Altamira",  Malbec  ,94,762.67
"Trivento Reserve White  Malbec, Mendoza",  Malbec  ,87,65.33
"Susana Balbo Wines Brioso,  Agrelo",  Bordeaux Blend Red  ,92,268.0
"Bodega San Telmo Malbec, Mendoza,",  Malbec  ,82,40.0
"Dona Paula Estate  Malbec, Ugarteche",  Malbec  ,89,89.33
"Bodega del Fin del  Mundo Special Blend Reserva, Neuquen",  Red Blend  ,90,260.0
"Mendoza Vineyards  - MV Gran Reserva Malbec, Mendoza",  Malbec  ,88,113.33
"Lagarde  'Guarda' Chardonnay, Tupungato",  Chardonnay  ,91,121.33
"Luigi  Bosca Single Vineyard D.O.C. Malbec, Lujan de Cuyo",  Malbec  ,89,170.67
"Vina  Cobos Chanares Estate Malbec, Tunuyan",  Malbec  ,93,746.67
"Navarro Correas  Coleccion Privada Malbec, Mendoza",  Malbec  ,88,81.33
"Casa Natal Reserva Malbec,  Mendoza",  Malbec  ,88,105.33
"Susana Balbo  Wines 'Crios' Torrontes, Cafayate",  Torrontes  ,89,81.33
"Zorzal  Eggo Franco Cabernet Franc, Tupungato",  Cabernet Franc  ,92,137.33
"Lagarde 'Henry Gran  Guarda No. 1', Mendoza",  Red Blend  ,90,1046.67
"Pyros  Single Vineyard Block No 4 Malbec, Pedernal Valley",  Malbec  ,92,186.67
"Maal Wines 'Biutiful' Malbec,  Mendoza",  Malbec  ,87,129.33
"Trapiche Medalla Cabernet  Sauvignon, Mendoza",  Cabernet Sauvignon  ,88,137.33
"Vina Cobos  Bramare Cabernet Sauvignon, Lujan de Cuyo",  Cabernet Sauvignon  ,90,292.0
"La Posta  Pizzella Family Vineyard Malbec, Uco Valley",  Malbec  ,89,105.33
"Vinyes Ocults Gran Malbec,  Mendoza",  Malbec  ,91,244.0
"Mosquita  Muerta 'Cordero con Piel de Lobo' Malbec, Mendoza",  Malbec  ,88.0,57.33
"Mendel Unus, Mendoza",  Bordeaux Blend Red  ,92.0,276.0
"Bodega Septima Malbec, Agrelo,",  Malbec  ,86.0,73.33
"Bodega Noemia de  Patagonia J. Alberto, Rio Negro",  Malbec  ,92.0,357.33
"Bodega Sottano 'Judas'  Malbec, Perdriel",  Malbec  ,90.0,446.67
"Piattelli Vineyards  Reserve Malbec, Cafayate",  Malbec  ,89.0,89.33
"Terrazas de los Andes  Reserva Chardonnay, Mendoza",  Chardonnay  ,89.0,129.33
"Flechas  de los Andes 'Gran Malbec', Vista Flores",  Malbec  ,90.0,162.67
