product,grape,score,avg_price_liter
"Casillero del Diablo  Reserva Merlot, Rapel Valley",  Merlot  ,85,65.33
"Concha y Toro Reservado  Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,81,40.0
"Gato Negro Cabernet Sauvignon,  Central Valley",  Cabernet Sauvignon  ,82,40.0
"Vina  Ventisquero Enclave Cabernet Sauvignon, Pirque",  Cabernet Sauvignon  ,92,454.67
"Undurraga Founder's  Collection Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,90,236.0
"Montes Alpha Chardonnay,  Casablanca Valley",  Chardonnay  ,88,121.33
"Concha  y Toro 'Terrunyo' Block 27 Peumo Vineyard Carmenere, Cachapoal Valley",  Carmenere  ,91,292.0
"Vina San Pedro  Cabo de Hornos Special Reserve, Central Valley",  Cabernet - Malbec - Syrah  ,91,430.67
"Luis Felipe Edwards  Dona Bernarda, Colchagua Valley",  Red Blend  ,90,276.0
"Cono Sur 'Ocio' Pinot  Noir, Casablanca Valley",  Pinot Noir  ,91,389.33
"Concha y Toro Diablo Dark  Red, Maule Valley",  Red Blend  ,84,97.33
"Montes Alpha Merlot, Colchagua  Valley",  Merlot  ,88,129.33
"Emiliana 'Ge' Red Blend,  Colchagua Valley",  Red Blend  ,93,454.67
"Los Vascos Grande Reserve,  Colchagua Valley",  Cabernet Sauvignon  ,89,129.33
Alto  del Carmen Pisco,  Pisco  ,88,129.33
Caballo  Loco,  Red Blend  ,90,413.33
"Cousino Macul  Antiguas Reservas Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89,105.33
"Cono Sur 20  Barrels Limited Edition Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,90,186.67
"Casillero del Diablo  Reserva Carmenere, Central Valley",  Carmenere  ,86,65.33
"Montes Classic Series  Cabernet Sauvignon, Colchagua Valley",  Cabernet Sauvignon  ,86,81.33
"Lapostolle  'La Parcelle 8' Vieilles Vignes, Apalta",  Cabernet Sauvignon  ,92,844.0
"Los Vascos  'Cromas' Gran Reserva Cabernet Sauvignon, Colchagua Valley",  Cabernet Sauvignon  ,89,121.33
"VIK 'A' Cabernet Sauvignon,  Millahue",  Cabernet Sauvignon  ,90,170.67
"Luis Felipe Edwards Merlot,  Central Valley",  Merlot  ,85,65.33
"Viu Manent 8 -  Cuvee Infinito, Colchagua Valley",  Bordeaux Blend Red  ,93,316.0
"MontGras Intriga Cabernet  Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,90,121.33
"De  Martino 'Vigno' Old Vines Dry Farmed Carignan, Maule Valley",  Carignan (Carinena)  ,92,268.0
"Casillero del Diablo  Reserva Chardonnay, Central Valley",  Chardonnay  ,88,65.33
