product,grape,score,avg_price_liter
"Bollinger R.D. Extra Brut,  Champagne",  Chardonnay - Pinot Noir  ,95,628.0
"Bollinger La Grande Annee  Brut, Champagne",  Chardonnay - Pinot Noir  ,94,1145.33
"E. Guigal Cote Rotie La  Mouline, Rhone",  Syrah - Viognier  ,95,1304.0
"Chateau Lagrange, Saint-Julien,",  Bordeaux Blend Red  ,92,428.0
"Chateau Laroque,  Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,91,246.67
"Krug Clos du Mesnil  Blanc de Blancs Brut, Champagne",  Chardonnay  ,96,261.33
"Chateau La Fleur-Petrus, Pomerol,",  Cabernet Franc - Merlot  ,94,348.0
"Chateau Trotanoy, Pomerol",  Bordeaux Blend Red  ,95,653.33
"Domaine  du Clos de Tart 'Clos de Tart' Grand Cru Monopole, Cote de Nuits",  Pinot Noir  ,95,740.0
"Domaine  des Lambrays Clos des Lambrays Grand Cru, Cote de Nuits",  Pinot Noir  ,94,161.33
"Moet & Chandon Grand  Vintage Brut, Champagne",  Champagne Blend  ,91,560.0
"Paul Avril Clos des  Papes Chateauneuf-du-Pape, Rhone",  Southern Rhone Red Blend  ,94,684.0
"Domaine  Armand Rousseau Pere et Fils Clos Saint-Jacques, Gevrey-Chambertin Premier Cru",  Pinot Noir  ,95,565.33
"Baron  Philippe de Rothschild Chateau d'Armailhac, Pauillac",  Bordeaux Blend Red  ,91,478.67
"Pavillon Rouge du Chateau  Margaux, Margaux",  Bordeaux Blend Red  ,92,166.67
"Pol Roger  Cuvee Sir Winston Churchill Brut, Champagne",  Champagne Blend  ,95,604.0
"Domaine  Georges & Christophe Roumier Bonnes-Mares Grand Cru, Cote de Nuits",  Pinot Noir  ,95,1197.33
"Chateau Latour 'Les  Forts de Latour', Pauillac",  Cabernet Sauvignon - Merlot  ,92,306.67
"Domaine  Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru, Cote de Nuits",  Pinot Noir  ,96,1129.33
"Chateau Langoa-Barton,  Saint-Julien",  Bordeaux Blend Red  ,92,428.0
"Domaine  Leroy Musigny Grand Cru, Cote de Nuits",  Pinot Noir  ,98,710.67
"Domaine  Leflaive Chevalier-Montrachet Grand Cru, Cote de Beaune",  Chardonnay  ,95,1080.0
"Coche-Dury Meursault,  Cote de Beaune",  Chardonnay  ,92,573.33
"Chateau d'Issan, Margaux",  Bordeaux Blend Red  ,92,494.67
"Chateau Clinet, Pomerol",  Bordeaux Blend Red  ,93,824.0
"Chateau Clerc-Milon, Pauillac,",  Bordeaux Blend Red  ,92,701.33
"Chateau de Fieuzal,  Pessac-Leognan",  Bordeaux Blend Red  ,91,305.33
"Chateau L'Evangile, Pomerol,",  Cabernet Franc - Merlot  ,94,365.33
"Chateau Rieussec, Sauternes",  Sauvignon Blanc - Semillon  ,93,528.0
"Krug Grande Cuvee Brut, Champagne,",  Champagne Blend  ,94,356.0
"Domaine  Bonneau du Martray Corton-Charlemagne Grand Cru, Cote de Beaune",  Chardonnay  ,94,457.33
"Chateau  Malescot-St-Exupery, Margaux",  Bordeaux Blend Red  ,92.0,494.67
"Chateau Sociando-Mallet,  Haut-Medoc",  Bordeaux Blend Red  ,90.0,297.33
"Perrier-Jouet  Belle Epoque - Fleur de Champagne Millesime Brut, Champagne",  Champagne Blend  ,92.0,2.67
"Chateau Gloria,  Saint-Julien",  Bordeaux Blend Red  ,91.0,354.67
Hennessy Pure White Cognac,  Brandy  ,,2.67
"Chateau Suduiraut, Sauternes,",  Sauvignon Blanc - Semillon  ,94.0,469.33
"Chateau Phelan Segur,  Saint-Estephe",  Bordeaux Blend Red  ,91.0,354.67
"Domaine  Dujac Clos de la Roche Grand Cru, Cote de Nuits",  Pinot Noir  ,94.0,29.33
"Domaine  du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits",  Pinot Noir  ,96.0,261.33
Chateau Gazin Pomerol,  Bordeaux Blend Red  ,92.0,634.67
"Jacques Selosse Millesime,  Champagne",  Champagne Blend  ,95.0,694.67
"Domaine  Leflaive Les Pucelles, Puligny-Montrachet Premier Cru",  Chardonnay  ,93.0,633.33
"Rare Brut Millesime, Champagne,",  Champagne Blend  ,93.0,76.0
"Chateau La Lagune, Haut-Medoc,",  Bordeaux Blend Red  ,91.0,445.33
"Domaine  Ponsot Clos de la Roche Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits",  Pinot Noir  ,95.0,1314.67
"Chateau Pavie Macquin,  Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,94.0,634.67
"Louis Roederer  Cristal Brut Rose Millesime, Champagne",  Chardonnay - Pinot Noir  ,96.0,320.0
"Domaine  Georges & Christophe Roumier Chambolle-Musigny, Cote de Nuits",  Pinot Noir  ,90.0,294.67
"Domaine  Leflaive Batard-Montrachet Grand Cru, Cote de Beaune",  Chardonnay  ,94.0,97.33
