product,grape,score,avg_price_liter
"Pizzato Allume Pinot Noir,  Rio Grande do Sul",  Pinot Noir  ,,114.67
"Quinta  Barroca da Tilia Rus de Alma, Encruzilhada do Sul",  Red Blend  ,,221.33
"Angheben Cabernet  Sauvignon, Encruzilhada do Sul",  Cabernet Sauvignon  ,89.0,122.67
"Angheben Brut  Espumante, Encruzilhada do Sul",  Chardonnay - Pinot Noir  ,88.0,164.0
"Cave Antiga Vinho  Licoroso, Farroupilha",  Vin de Liqueur  ,,334.67
"Antonio Dias Brut, Rio Grande do  Sul",  White Blend  ,,106.67
"Antonio Dias Moscatel  Espumante, Rio Grande do Sul",  Muscat  ,,81.33
"Antonio Dias Rose, Rio Grande do  Sul",  Merlot  ,,106.67
"Antonio Dias Tannat, Rio Grande  do Sul",  Tannat  ,,57.33
"Peterlongo  Armando Memoria Pinot Noir, Serra do Sudeste",  Pinot Noir  ,,106.67
"Peterlongo Armando  Memoria Tannat, Rio Grande do Sul",  Tannat  ,,106.67
"Garbo Duo Chardonnay - Arneis,  Rio Grande do Sul",  White Blend  ,,106.67
"Casa  Valduga Arte Gewurztraminer - Malbec Rose, Serra do Sudeste",  Rose Blend  ,86.0,57.33
"Casa  Valduga Arte Fruite Marselan - Malbec, Serra do Sudeste",  Red Blend  ,,49.33
"Audace Massilia Rose  of Pinot Noir, Rio Grande do Sul",  Pinot Noir  ,89.0,130.67
"Vinicola  Aurora 'Procedencias' Chardonnay Brut, Rio Grande do Sul",  Chardonnay  ,86.0,49.33
"Quinta  Barroca da Tilia Pro Bono, Encruzilhada do Sul",  Red Blend  ,,188.0
"Familia Bebber Vero Brut, Rio  Grande do Sul",  White Blend  ,,106.67
"Familia  Bebber Sauvignon Blanc, Campos de Cima da Serra",  Sauvignon Blanc  ,,106.67
"Familia Bebber Chimango  Cuvee, Rio Grande do Sul",  Chardonnay  ,,253.33
"Familia Bebber Rose,  Serra do Sudeste",  Rose Blend  ,,106.67
"Familia  Bebber Reserva Marselan, Serra do Sudeste",  Marselan  ,,114.67
"Familia  Bebber Reserva Touriga Nacional, Serra do Sudeste",  Touriga Nacional  ,,106.67
"Lidio Carraro  'Dadivas' Blanc de Blanc Brut, Rio Grande do Sul",  White Blend  ,86.0,138.67
"Vinicola  Campestre 'Zanotto' Sauvignon Blanc, Rio Grande do Sul",  Sauvignon Blanc  ,88.0,81.33
"Peterlongo  'Elegance' Blanc de Blancs Nature, Rio Grande do Sul",  Chardonnay  ,89.0,229.33
"Marzarotto Pleno Blush, Rio  Grande do Sul",  Rose Blend  ,,81.33
