product,grape,score,avg_price_liter
"Casa Ferreirinha 'Papa  Figos' Tinto, Douro",  Tinta Barroca - Tinta Roriz -  Touriga  ,87,89.33
"Cartuxa Evora Reserva Tinto,  Alentejo",  Alicante Bouschet - Aragonez  ,90,365.33
"Barbeito Malvasia, Madeira,",  Malvasia  ,93,682.67
Gould Campbell Vintage  Port,  Port Blend Red  ,90,446.67
Taylor  Fladgate 20 Year Old Tawny Port,  Port Blend Red  ,92,349.33
"Cossart Gordon Bual Vintage,  Madeira",  Bual (Malvasia Fina)  ,93,517.33
"Quinta  de S. Sebastiao 'Fonte das Setas', Vinho Regional Lisboa",  Red Blend  ,85,81.33
"Quinta do Vale Meao  'Meandro' Tinto, Douro",  Portuguese Red Blend  ,89,170.67
"P+S Prats  & Symington Post Scriptum de Chryseia, Douro",  Portuguese Red Blend  ,90,162.67
Quinta do Noval Colheita  Port,  Port Blend Red  ,92,828.0
W & J  Graham's 10 Year Old Tawny Port,  Port Blend Red  ,90,218.67
"Barros Vintage Port,",  Port Blend Red  ,89,520.0
Niepoort Late  Bottled Vintage Port,  Port Blend Red  ,89,154.67
Taylor Fladgate Fine  Tawny Port,  Port Blend Red  ,86,113.33
"Herdade do Mouchao  Tonel 3-4, Alentejo",  Alicante Bouschet  ,93,1265.33
C. da Silva Dalva  Vintage Port,  Port Blend Red  ,90,349.33
"Henriques &  Henriques 15 Years Old Malmsey, Madeira",  Malvasia  ,90,397.33
Taylor  Fladgate Golden Age 50 Year Very Old Tawny Port,  Port Blend Red  ,94,573.33
"Vinhos Borges Vintage Port,",  Port Blend Red  ,89,510.67
"Mira do O 'Druida' Encruzado  Reserva, Dao",  Encruzado  ,91,154.67
"Niepoort Redoma Tinto, Douro,",  Portuguese Red Blend  ,91,218.67
"Quinta do Crasto Roquette  & Cazes, Douro",  Portuguese Red Blend  ,90,170.67
"Casa Ferreirinha Vinha  Grande Tinto, Douro",  Portuguese Red Blend  ,88,105.33
"Adega de Moncao 'Muralhas  de Moncao', Vinho Verde",  Albarino (Alvarinho)  ,86,57.33
"Jose  Maria da Fonseca 'Waterdog', Vinho Regional Peninsula de Setubal",  Red Blend  ,87,65.33
"Quinta do Vallado Reserva  Field Blend, Douro",  Portuguese Red Blend  ,92,357.33
"Niepoort Charme Tinto, Douro,",  Portuguese Red Blend  ,91,462.67
"Alves de Sousa  'Abandonado' Tinto, Douro",  Portuguese Red Blend  ,92,641.33
"Casa  Santos Lima Colossal Reserva, Vinho Regional Lisboa",  Portuguese Red Blend  ,87,81.33
"Quinta do Vale D. Dona Maria  Tinto, Douro",  Portuguese Red Blend  ,92,365.33
"Rozes Porto Vintage Port,",  Port Blend Red  ,91,365.33
W & J  Graham's 'Ne Oublie' Tawny Port,  Port Blend Red  ,0,890.67
Alexandre de Almeida Hotels  'Bucaco' Branco,  Portuguese White Blend  ,91,536.0
Taylor  Fladgate 10 Year Old Tawny Port,  Port Blend Red  ,89,202.67
Caves Messias Colheita  Port,  Port Blend Red  ,90,1144.0
"Herdade  do Esporao Monte Velho, Vinho Regional Alentejano",  Portuguese Red Blend  ,86,65.33
"Blandy's Vintage  Malmsey, Madeira",  Malvasia  ,92,305.33
Ferreira Late  Bottled Vintage Port,  Port Blend Red  ,90,137.33
