product,grape,score,avg_price_liter
"Giuseppe  Rinaldi 'Brunate-Le Coste', Barolo DOCG",  Nebbiolo  ,94,400.0
"Luciano  Sandrone Aleste-Cannubi Boschis, Barolo DOCG",  Nebbiolo  ,95,1113.33
"Petrolo Galatrona  Valdarno di Sopra, Tuscany",  Merlot  ,93,650.67
"Castello Banfi  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,90,428.0
"Giuseppe  Mascarello e Figlio Monprivato, Barolo DOCG",  Nebbiolo  ,94,249.33
"Fattoria Le Pupille  'Saffredi' Maremma Toscana, Tuscany",  Bordeaux Blend Red  ,94,609.33
"Masi  Costasera, Amarone della Valpolicella Classico DOCG",  Valpolicella Blend  ,91,362.67
"Dal  Forno Romano Vigneto Monte Lodoletta, Amarone della Valpolicella DOCG",  Valpolicella Blend  ,94,1172.0
Emidio Pepe Montepulciano  d'Abruzzo,  Montepulciano  ,91,1236.0
"Marchesi  Frescobaldi Castelgiocondo, Brunello di Montalcino DOCG",  Sangiovese  ,91,404.0
Marchesi  Antinori Castello della Sala 'Cervaro della Sala' Umbria IGT,  White Blend  ,92,461.33
"Ornellaia 'Le  Serre Nuove dell'Ornellaia' Bolgheri Rosso, Tuscany",  Bordeaux Blend Red  ,91,412.0
"Bibi Graetz Testamatta Toscana  IGT, Tuscany",  Sangiovese  ,92,609.33
"Pio Cesare Barolo DOCG, Piedmont,",  Nebbiolo  ,92,528.0
"Isole e Olena Cepparello  Toscana IGT, Tuscany",  Sangiovese  ,94,660.0
"Luciano Sandrone Le  Vigne, Barolo DOCG",  Nebbiolo  ,94,956.0
"Tua Rita Redigaffi Toscana IGT,  Tuscany",  Merlot  ,95,233.33
"Fattoria  Poggio di Sotto Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,94,18.67
"Ornellaia 'Le Volte  dell'Ornellaia' Toscana IGT, Tuscany",  Cabernet - Merlot - Sangiovese  ,89,181.33
"Bertani Amarone  della Valpolicella Classico DOCG, Veneto",  Valpolicella Blend  ,92,973.33
"Tenuta  Tignanello 'Marchese Antinori' Riserva, Chianti Classico DOCG",  Cabernet - Sangiovese  ,91,288.0
"Mazzei Castello di  Fonterutoli 'Siepi' Toscana IGT, Tuscany",  Merlot - Sangiovese  ,93,609.33
"Tommasi Amarone  della Valpolicella Classico DOCG, Veneto",  Valpolicella Blend  ,90,388.0
"Falletto di Bruno  Giacosa 'Falletto', Barolo DOCG",  Nebbiolo  ,93,249.33
"Valdicava Brunello di  Montalcino DOCG, Tuscany",  Sangiovese  ,92,922.67
"San Giusto a  Rentennano 'Percarlo' Sangiovese Toscana IGT, Tuscany",  Sangiovese  ,94,898.67
Azienda Agricola Valentini Trebbiano  d'Abruzzo,  Trebbiano (Ugni Blanc)  ,92,1170.67
"Guerrieri  Gonzaga Tenuta San Leonardo 'San Leonardo' Vigneti delle Dolomiti IGT, Trentino-Alto Adige,",  Bordeaux Blend Red  ,93,552.0
"Casanova di Neri  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,461.33
"Gaja Sori San  Lorenzo Langhe-Barbaresco, Piedmont",  Nebbiolo  ,95,605.33
"Cappellano  Otin Fiorin Pie Rupestris - Nebiolo, Barolo DOCG",  Nebbiolo  ,94,736.0
"Falletto  di Bruno Giacosa Asili Riserva, Barbaresco DOCG",  Nebbiolo  ,96,556.0
"Argiano Brunello di  Montalcino DOCG,Tuscany",  Sangiovese  ,91,420.0
"Vietti Castiglione, Barolo  DOCG",  Nebbiolo  ,92,378.67
"Tenuta Sette Ponti Oreno  Toscana IGT, Tuscany",  Bordeaux Blend Red  ,93,544.0
"Giuseppe Rinaldi  'Tre Tine', Barolo DOCG",  Nebbiolo  ,94,1181.33
"Marchesi di Barolo 'Barolo' DOCG,  Piedmont",  Nebbiolo  ,90,486.67
"Le Macchiole Messorio Toscana IGT,  Tuscany",  Merlot  ,94,84.0
"Case  Basse di Gianfranco Soldera Brunello di Montalcino Riserva DOCG, Tuscany",  Sangiovese  ,93,752.0
"Casanova  di Neri Cerretalto, Brunello di Montalcino DOCG",  Sangiovese  ,95,1041.33
