product,grape,score,avg_price_liter
"Chateau Giscours, Margaux,",  Bordeaux Blend Red  ,92,528.0
"Vieux Chateau Certan, Pomerol,",  Bordeaux Blend Red  ,95,1961.33
"Chateau Rayas  Chateauneuf-du-Pape Reserve, Rhone",  Grenache (Garnacha)  ,95,11985.33
"Domaine Jean-Louis Chave  Hermitage, Rhone",  Syrah  ,95,3874.67
"Chateau Rauzan-Segla, Margaux,",  Bordeaux Blend Red  ,94,816.0
"Domaine de Chevalier,  Pessac-Leognan",  Bordeaux Blend Red  ,94,560.0
"Chateau Gruaud-Larose,  Saint-Julien",  Bordeaux Blend Red  ,93,782.67
"Chateau Lascombes, Margaux,",  Bordeaux Blend Red  ,91,609.33
"Chateau Pape Clement,  Pessac-Leognan",  Bordeaux Blend Red  ,93,750.67
"Chateau Branaire-Ducru,  Saint-Julien",  Bordeaux Blend Red  ,92,478.67
"Chateau Batailley, Pauillac,",  Bordeaux Blend Red  ,92,437.33
"Chateau Ausone, Saint-Emilion,",  Bordeaux Blend Red  ,96,5061.33
"Domaine  Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits",  Pinot Noir  ,95,7740.0
"Chateau Les Carmes  Haut-Brion, Pessac-Leognan",  Bordeaux Blend Red  ,94,1046.67
"Chateau La Conseillante, Pomerol,",  Bordeaux Blend Red  ,95,1566.67
"Chateau Brane-Cantenac,  Margaux",  Bordeaux Blend Red  ,93,601.33
"Chateau Duhart-Milon,  Pauillac",  Bordeaux Blend Red  ,91,668.0
"Domaine  de la Romanee-Conti Grands Echezeaux Grand Cru, Cote de Nuits",  Pinot Noir  ,95,2102.67
"Dom Perignon Rose, Champagne,",  Champagne Blend  ,95,3033.33
"Paul Jaboulet Aine  Hermitage La Chapelle, Rhone",  Syrah  ,94,1352.0
"Dom Perignon P2  Plenitude Brut, Champagne",  Champagne Blend  ,95,3421.33
"Domaine  de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune",  Chardonnay  ,96,2201.33
"Chateau Cantemerle, Haut-Medoc,",  Bordeaux Blend Red  ,90,264.0
"Le Pin, Pomerol",  Merlot  ,95,378.67
"Chateau Haut-Bailly,  Pessac-Leognan",  Bordeaux Blend Red  ,95,890.67
"Bollinger R.D. Extra Brut,  Champagne",  Chardonnay - Pinot Noir  ,95,1961.33
"Bollinger La Grande Annee  Brut, Champagne",  Chardonnay - Pinot Noir  ,94,1145.33
"E. Guigal Cote Rotie La  Mouline, Rhone",  Syrah - Viognier  ,95,2637.33
"Chateau Lagrange, Saint-Julien,",  Bordeaux Blend Red  ,92,428.0
"Chateau Laroque,  Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,91,246.67
"Krug Clos du Mesnil  Blanc de Blancs Brut, Champagne",  Chardonnay  ,96,1594.67
"Chateau La Fleur-Petrus, Pomerol,",  Cabernet Franc - Merlot  ,94,1681.33
"Chateau Trotanoy, Pomerol",  Bordeaux Blend Red  ,95,1986.67
"Domaine  du Clos de Tart 'Clos de Tart' Grand Cru Monopole, Cote de Nuits",  Pinot Noir  ,95,4740.0
"Domaine  des Lambrays Clos des Lambrays Grand Cru, Cote de Nuits",  Pinot Noir  ,94,2828.0
"Moet & Chandon Grand  Vintage Brut, Champagne",  Champagne Blend  ,91,560.0
"Paul Avril Clos des  Papes Chateauneuf-du-Pape, Rhone",  Southern Rhone Red Blend  ,94,684.0
"Domaine  Armand Rousseau Pere et Fils Clos Saint-Jacques, Gevrey-Chambertin Premier Cru",  Pinot Noir  ,95,565.33
"Baron  Philippe de Rothschild Chateau d'Armailhac, Pauillac",  Bordeaux Blend Red  ,91,478.67
"Pavillon Rouge du Chateau  Margaux, Margaux",  Bordeaux Blend Red  ,92,1500.0
"Pol Roger  Cuvee Sir Winston Churchill Brut, Champagne",  Champagne Blend  ,95,1937.33
"Domaine  Georges & Christophe Roumier Bonnes-Mares Grand Cru, Cote de Nuits",  Pinot Noir  ,95,5197.33
"Chateau Latour 'Les  Forts de Latour', Pauillac",  Cabernet Sauvignon - Merlot  ,92,1640.0
"Domaine  Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru, Cote de Nuits",  Pinot Noir  ,96,1129.33
"Chateau Langoa-Barton,  Saint-Julien",  Bordeaux Blend Red  ,92,428.0
"Domaine  Leroy Musigny Grand Cru, Cote de Nuits",  Pinot Noir  ,98,6044.0
"Domaine  Leflaive Chevalier-Montrachet Grand Cru, Cote de Beaune",  Chardonnay  ,95,11746.67
"Coche-Dury Meursault,  Cote de Beaune",  Chardonnay  ,92,8573.33
"Chateau d'Issan, Margaux",  Bordeaux Blend Red  ,92,494.67
"Chateau Clinet, Pomerol",  Bordeaux Blend Red  ,93,824.0
"Chateau Clerc-Milon, Pauillac,",  Bordeaux Blend Red  ,92,701.33
"Chateau de Fieuzal,  Pessac-Leognan",  Bordeaux Blend Red  ,91,305.33
"Chateau L'Evangile, Pomerol,",  Cabernet Franc - Merlot  ,94,1698.67
"Chateau Rieussec, Sauternes",  Sauvignon Blanc - Semillon  ,93,528.0
"Krug Grande Cuvee Brut, Champagne,",  Champagne Blend  ,94,1689.33
