product,grape,score,avg_price_liter
"Torres Gran  Coronas Cabernet Sauvignon Reserva, Penedes",  Cabernet Sauvignon  ,88.0,124.0
"CVNE 'Cune' Gran Reserva, Rioja  DOCa",  Rioja Red Blend  ,90.0,222.67
"Macan Clasico, Rioja DOCa",  Tempranillo  ,92.0,354.67
"Descendientes  de J. Palacios La Faraona, Bierzo",  Mencia  ,97.0,101.33
"Casa Castillo  Monastrell Pie Franco, Jumilla",  Monastrell  ,94.0,660.0
"Marques  de Murrieta Castillo Ygay Blanco Gran Reserva Especial, Rioja DOCa",  Rioja White Blend  ,96.0,25.33
"CVNE Vinedos  del Contino 'Contino' Vina del Olivo, Rioja DOCa",  Tempranillo  ,93.0,478.67
Bodegas Mauro 'Mauro'  Vino Tinto de la Tierra de Castilla y Leon,  Tempranillo  ,91.0,264.0
"El Coto 'Coto de Imaz'  Gran Reserva, Rioja DOCa",  Tempranillo  ,90.0,189.33
"El Coto 'Coto de Imaz'  Reserva, Rioja DOCa",  Tempranillo  ,88.0,116.0
"R.  Lopez de Heredia Vina Tondonia 'Vina Cubillo' Crianza, Rioja DOCa",  Rioja Red Blend  ,90.0,165.33
"Esteban Martin Garnacha - Syrah,",  Grenache - Syrah  ,86,57.33
"Bodega Numanthia  'Termanthia', Toro",  Tinta de Toro  ,93,174.67
"Marques de Caceres  Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,90,214.67
"Espectacle del Montsant, Montsant,",  Grenache (Garnacha)  ,94,774.67
"Marques de Murrieta  'Dalmau' Reserva, Rioja DOCa",  Rioja Red Blend  ,93,642.67
"Bodegas Faustino V Reserva, Rioja DOCa,",  Rioja Red Blend  ,88,124.0
"Bodegas Roda Reserva, Rioja DOCa,",  Rioja Red Blend  ,91,230.67
Comando G 'La  Bruja de Rozas' Sierra de Gredos,  Grenache (Garnacha)  ,90,206.67
"Terroir Al Limit  Soc. Lda. Les Manyes, Priorat DOCa",  Grenache (Garnacha)  ,95,1310.67
"Dominio  del Aguila 'Penas Aladas' Gran Reserva, Ribera del Duero",  Tempranillo  ,96,224.0
"Descendientes  de J. Palacios 'Petalos', Bierzo",  Mencia  ,90,132.0
"Alvaro  Palacios 'Les Terrasses' Velles Vinyes, Priorat DOCa",  Carignan - Grenache - Syrah  ,92,256.0
"Bodegas San Roman, Toro",  Tinta de Toro  ,92,230.67
"Raul  Perez 'La Vitoriana' Lomas de Valtuille, Bierzo",  Mencia  ,93,214.67
"Casa Castillo Las Gravas,  Jumilla",  Mourvedre (Monastrell)  ,92,305.33
"Marques de  Riscal 'Baron de Chirel' Reserva, Rioja DOCa",  Tempranillo  ,93,536.0
"Ferrer  Bobet Seleccio Especial Vinyes Velles, Priorat DOCa",  Carignan (Carinena)  ,93,601.33
"Bodegas El Nido 'El Nido', Jumilla",  Red Blend  ,93,981.33
"Vinedos de Paganos La Nieta,  Rioja DOCa",  Tempranillo  ,95,832.0
